ID_Étudiant,Nom,Travaux_Collaboratifs,Coéquipiers,Communautés,Nombre_Interactions,Compétences,Centres_d'Intérêt
40,Etudiant_40,5,"[15, 26, 9]","['Club Entrepreneurs', 'Association Écologie']",53,['IA'],"['Entrepreneuriat', 'Musique', 'Hackathon']"
41,Etudiant_41,9,"[36, 17, 27]","['Association Écologie', 'Club Entrepreneurs']",64,['Blockchain'],"['Musique', 'Entrepreneuriat', 'Robotique']"
42,Etudiant_42,8,"[20, 35, 4]","['Club Entrepreneurs', 'Groupe IA']",35,['Électronique'],['Musique']
43,Etudiant_43,9,[14],"['Groupe IA', 'Club Data Science']",57,"['Design', 'Data Science']",['Entrepreneuriat']
44,Etudiant_44,9,"[46, 19, 43, 5]","['Club Robotique', 'Club Entrepreneurs']",56,['Data Science'],"['Jeux vidéo', 'Entrepreneuriat', 'Robotique']"
45,Etudiant_45,9,"[31, 44, 46, 39, 25]",['Club Data Science'],89,['Design'],"['Musique', 'Jeux vidéo', 'Entrepreneuriat']"
46,Etudiant_46,4,"[4, 47, 49]","['Club Entrepreneurs', 'Groupe IA']",68,['IA'],"['Hackathon', 'Écologie']"
47,Etudiant_47,1,"[46, 26, 31, 16]",['Association Écologie'],58,"['Blockchain', 'Marketing', 'Data Science']","['Écologie', 'Robotique']"
48,Etudiant_48,7,"[20, 29, 40]","['Club Data Science', 'Club Robotique']",68,"['Data Science', 'Blockchain']","['Jeux vidéo', 'Robotique']"
49,Etudiant_49,1,"[20, 37, 17]","['Groupe IA', 'Club Robotique']",32,"['Data Science', 'Blockchain']","['Jeux vidéo', 'Hackathon', 'Écologie']"
50,Etudiant_50,4,"[36, 6, 18]","['Association Écologie', 'Groupe IA']",11,"['IA', 'Blockchain', 'Data Science']",['Hackathon']
